,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-1904.21,0.625519,17.2317,17.2426,-1932.24,-1904.07,-1876.49,775.495,1501.79,1.0035
mu_latent_lr_reward[1],-0.564246,0.00867242,0.208517,0.209507,-0.88603,-0.571248,-0.215591,580.814,1405.3,1.00328
mu_latent_lr_reward[2],-0.84916,0.00535719,0.150969,0.146579,-1.09456,-0.848419,-0.603879,810.83,1518.92,1.00314
sigma_latent_lr_reward[1],0.964192,0.00472552,0.182779,0.175882,0.69802,0.943912,1.28656,1494.7,2200.39,1.00087
sigma_latent_lr_reward[2],0.726245,0.00389479,0.135634,0.131599,0.52808,0.71211,0.960786,1221.42,1823.89,1.0036
mu_latent_lr_action[1],-2.42144,0.0247452,0.442732,0.475025,-3.16812,-2.39518,-1.74507,328.114,1290.13,1.0091
mu_latent_lr_action[2],-1.80061,0.0317712,0.610372,0.565693,-2.69814,-1.84578,-0.694073,357.307,709.942,1.00269
sigma_latent_lr_action[1],0.622093,0.0168051,0.341308,0.344468,0.0952317,0.59706,1.22328,391.574,979.41,1.00185
sigma_latent_lr_action[2],1.01269,0.017898,0.454241,0.412503,0.389139,0.949396,1.83421,618.562,1051.36,1.0067
mu_latent_weight_for_A[1],-0.79756,0.0454784,0.737056,0.816031,-2.01388,-0.784878,0.357012,270.526,710.201,1.00893
mu_latent_weight_for_A[2],-1.13282,0.0256274,0.52833,0.546257,-1.98186,-1.14101,-0.249572,425.565,516.907,1.00147
sigma_latent_weight_for_A[1],0.985491,0.0271156,0.514367,0.542895,0.152795,0.985553,1.85244,349.474,538.622,1.00371
sigma_latent_weight_for_A[2],0.979696,0.0138426,0.363613,0.345676,0.397926,0.965755,1.60369,663.425,689.169,1.00073
mu_latent_beta[1],3.16546,0.0140692,0.327949,0.308321,2.65941,3.13803,3.7431,565.298,1301.78,1.00633
mu_latent_beta[2],2.93684,0.00992089,0.229901,0.217171,2.56926,2.93247,3.32626,554.151,1079.57,1.00089
sigma_latent_beta[1],1.23093,0.00873619,0.240957,0.232583,0.853545,1.21925,1.64943,745.439,1260.33,1.0006
sigma_latent_beta[2],1.03167,0.00487756,0.176361,0.166555,0.766198,1.02082,1.33583,1289.4,1917.38,1.00072
"latent_lr_reward[1,1]",-0.0743658,0.0291394,0.859089,0.498761,-1.03147,-0.316034,1.91303,1078.56,2716.98,1.00309
"latent_lr_reward[1,2]",1.05275,0.0112829,0.627642,0.603276,0.0535246,1.05298,2.0996,3101.88,2391.34,1.00108
"latent_lr_reward[2,1]",-0.37844,0.0111582,0.589702,0.578121,-1.27575,-0.428397,0.651205,2779.44,2932.41,1.00026
"latent_lr_reward[2,2]",-0.909539,0.00891083,0.409726,0.403047,-1.59997,-0.898424,-0.249747,2132.69,2484.13,1.00082
"latent_lr_reward[3,1]",-0.612535,0.00931659,0.453216,0.43201,-1.32872,-0.614908,0.110822,2403.88,2479.28,1.00048
"latent_lr_reward[3,2]",-0.541714,0.0085879,0.438308,0.430019,-1.30345,-0.521438,0.139331,2624.4,2638.33,1.00125
"latent_lr_reward[4,1]",-1.07907,0.0177026,0.803603,0.700567,-2.31882,-1.10998,0.42033,2156.85,1949.94,1.00256
"latent_lr_reward[4,2]",-1.05886,0.0129555,0.636948,0.624004,-2.03979,-1.08166,0.0206063,2445.2,2821.64,1.00005
"latent_lr_reward[5,1]",-0.580352,0.011793,0.453473,0.392885,-1.22981,-0.637091,0.274103,1455.58,2421.61,1.00082
"latent_lr_reward[5,2]",-0.605587,0.00832863,0.392796,0.379168,-1.27754,-0.581732,0.012899,2223.5,2703.73,1.00166
"latent_lr_reward[6,1]",-0.684314,0.00899631,0.307154,0.287896,-1.23272,-0.656456,-0.225175,1174.48,2170.41,1.00116
"latent_lr_reward[6,2]",-0.572962,0.0106449,0.492693,0.478283,-1.37627,-0.576226,0.252136,2149.49,2390.35,1.00169
"latent_lr_reward[7,1]",0.546731,0.012675,0.718364,0.760505,-0.54978,0.497136,1.79248,3289.21,2943.98,1.00088
"latent_lr_reward[7,2]",-0.649981,0.00898573,0.389704,0.369359,-1.32651,-0.621614,-0.0544155,1892.27,2364.22,1.00081
"latent_lr_reward[8,1]",-0.508345,0.00877211,0.329337,0.315625,-1.05395,-0.498267,0.0123393,1401.11,2423.97,1.00108
"latent_lr_reward[8,2]",-0.641287,0.00858643,0.334327,0.319769,-1.21776,-0.626309,-0.116004,1534.08,2447.53,1.00124
"latent_lr_reward[9,1]",-0.458075,0.0138886,0.680157,0.532628,-1.45962,-0.504107,0.77004,2394.06,2476.17,1.00001
"latent_lr_reward[9,2]",0.314823,0.00866677,0.418001,0.399214,-0.355513,0.30895,0.995623,2362.17,2655.21,1.00116
"latent_lr_reward[10,1]",-0.266386,0.0129558,0.662689,0.59115,-1.23014,-0.333882,0.950003,2673.8,2775.73,1.00032
"latent_lr_reward[10,2]",-0.999177,0.00910868,0.526384,0.503656,-1.84205,-0.999863,-0.156288,3462.19,2864.37,1.00179
