,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-1926.61,0.67911,18.7539,19.1848,-1958.29,-1926.13,-1896.99,762.202,1470.45,1.0042
mu_latent_lr_reward[1],-0.602615,0.0103393,0.233615,0.236294,-0.967458,-0.612772,-0.193927,519.576,1082.54,1.01018
mu_latent_lr_reward[2],-0.841467,0.00548556,0.148714,0.150098,-1.08701,-0.841529,-0.597865,743.662,1493.11,1.00404
sigma_latent_lr_reward[1],1.05366,0.00543599,0.193476,0.187407,0.778059,1.03282,1.39166,1252.99,2425.93,1.0018
sigma_latent_lr_reward[2],0.727458,0.00403363,0.136898,0.13284,0.531203,0.712344,0.971565,1154.48,2025.03,1.00319
mu_latent_lr_action[1],-2.1372,0.0392743,0.560609,0.532372,-3.02434,-2.11471,-1.40816,211.379,606.995,1.01831
mu_latent_lr_action[2],-0.812721,0.0332723,0.666135,0.629135,-1.92094,-0.814294,0.307583,407.885,741.17,1.01127
sigma_latent_lr_action[1],0.637669,0.0201435,0.411832,0.386957,0.0819793,0.581166,1.36613,324.478,831.816,1.01143
sigma_latent_lr_action[2],1.37605,0.0136375,0.473427,0.455766,0.69205,1.33476,2.22937,1109.84,1004.41,1.00285
mu_latent_slope_weight_for_A[1],-1.58159,0.0210192,0.855726,0.814511,-2.91233,-1.61147,-0.14988,1770.26,1503.37,1.00153
mu_latent_slope_weight_for_A[2],-2.04194,0.021727,0.70292,0.667919,-3.13117,-2.08209,-0.809959,1097.64,1672.79,1.00586
sigma_latent_slope_weight_for_A[1],0.881651,0.0145167,0.589885,0.629963,0.0733153,0.801286,1.98276,1582.07,1670.65,1.00162
sigma_latent_slope_weight_for_A[2],0.539835,0.011487,0.412484,0.409653,0.0448124,0.456535,1.3098,1286.3,2045.58,1.00568
mu_latent_bias_weight_for_A[1],-0.696381,0.0514932,0.788864,0.820564,-1.91791,-0.750377,0.668918,254.321,518.884,1.01638
mu_latent_bias_weight_for_A[2],-0.345758,0.0156652,0.532872,0.523942,-1.23957,-0.329993,0.50933,1175.4,1584.62,1.0045
sigma_latent_bias_weight_for_A[1],1.03638,0.028358,0.517216,0.538582,0.192364,1.04616,1.90221,350.947,837.513,1.01187
sigma_latent_bias_weight_for_A[2],0.988524,0.0125656,0.346775,0.321744,0.455494,0.962149,1.60089,738.657,589.568,1.00448
mu_latent_beta[1],3.12522,0.0172251,0.311755,0.294593,2.64072,3.10289,3.6787,333.797,782.208,1.00883
mu_latent_beta[2],2.88048,0.00648669,0.199232,0.187853,2.56001,2.87748,3.21468,956.918,1920.71,1.00135
sigma_latent_beta[1],1.31252,0.0104535,0.248659,0.239418,0.923742,1.30119,1.74122,540.85,647.834,1.00537
sigma_latent_beta[2],1.01563,0.00497545,0.175033,0.168644,0.762438,0.997568,1.32634,1227.12,1599.95,0.999708
"latent_lr_reward[1,1]",-0.00914077,0.0376306,0.854546,0.47305,-0.927886,-0.267492,1.85208,692.536,1875.98,1.00343
"latent_lr_reward[1,2]",1.01899,0.0119531,0.635598,0.598223,-0.0168049,1.00446,2.09786,2839.18,2621.66,0.999745
"latent_lr_reward[2,1]",-0.442596,0.0124654,0.546121,0.505283,-1.23193,-0.498312,0.574767,1983.78,2939.98,1.00124
"latent_lr_reward[2,2]",-0.91674,0.00945535,0.399373,0.393789,-1.59412,-0.897506,-0.28389,1869.93,2720.92,1.00055
"latent_lr_reward[3,1]",-0.546464,0.00897792,0.444071,0.427912,-1.26517,-0.549902,0.169587,2472.84,2537.94,1.00067
"latent_lr_reward[3,2]",-0.561769,0.00975268,0.447057,0.448261,-1.33947,-0.547203,0.148242,2068.23,2581.36,1.0025
"latent_lr_reward[4,1]",-2.0139,0.016193,0.678889,0.591342,-3.05289,-2.04014,-0.864745,2010.03,1301.53,1.00084
"latent_lr_reward[4,2]",-0.862224,0.0138284,0.626765,0.60972,-1.83907,-0.890748,0.219368,2262.96,1167.15,1.00083
"latent_lr_reward[5,1]",-0.570261,0.0126094,0.39845,0.322652,-1.1417,-0.613733,0.19261,978.718,1760.39,1.00342
"latent_lr_reward[5,2]",-0.583663,0.010431,0.389325,0.375792,-1.26735,-0.56323,-0.00208001,1426.66,2100.64,1.00151
"latent_lr_reward[6,1]",-0.593924,0.0095173,0.290945,0.276619,-1.09856,-0.575815,-0.153384,1002.35,1902.76,1.00284
"latent_lr_reward[6,2]",-0.54503,0.0107258,0.485997,0.477643,-1.34628,-0.547005,0.245965,2086.04,2462.33,1.00047
"latent_lr_reward[7,1]",0.521753,0.0133237,0.682689,0.706105,-0.488544,0.487916,1.70098,2713.99,2257.86,1.00125
"latent_lr_reward[7,2]",-0.6276,0.00891473,0.372993,0.362834,-1.27096,-0.606097,-0.051271,1750.79,2622.84,1.00124
"latent_lr_reward[8,1]",-0.442013,0.00964159,0.304065,0.302689,-0.951327,-0.433949,0.0471684,1020.67,2117.33,1.00513
"latent_lr_reward[8,2]",-0.644507,0.00865227,0.326796,0.312351,-1.22613,-0.627832,-0.148711,1419.32,2068.65,1.00243
"latent_lr_reward[9,1]",-0.472441,0.014415,0.62734,0.471494,-1.44314,-0.490813,0.62647,2081.44,1884.5,1.0025
"latent_lr_reward[9,2]",0.300953,0.00912183,0.402289,0.394535,-0.348829,0.295498,0.967075,1970.06,2354.84,1.00192
"latent_lr_reward[10,1]",-0.322791,0.011587,0.586187,0.508762,-1.1751,-0.371196,0.762298,2642.48,2404.42,1.00031
"latent_lr_reward[10,2]",-0.978425,0.0096111,0.519923,0.503596,-1.83915,-0.975945,-0.146668,2948.37,2803.09,1.00133
"latent_lr_reward[11,1]",0.425963,0.0116913,0.589404,0.552507,-0.481726,0.391655,1.41173,2605.41,2446.55,1.0027
"latent_lr_reward[11,2]",0.697277,0.00986985,0.518956,0.496975,-0.134623,0.690812,1.55093,2823.51,2557.51,1.00172
"latent_lr_reward[12,1]",-0.288961,0.0162923,0.670286,0.581385,-1.35633,-0.324063,0.840665,1690.0,1505.96,1.00286
